Strategy,Query,Latency,Recall,Groundedness,Hallucination,Details
BM25 Only,Ինչպե՞ս է կարգավորվում աշխատանքային պայմանագրի լու...,9.67,1.0,0.847,0.153,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.933277940750122), 'claims_checked': 5, 'llm_verification': {'score': 0.6, 'hallucinated_claims': ['Աշխատանքային պայմանագրի լուծումը կողմերի համաձայնությամբ (Հոդված 110)', 'Աշխատանքային պայմանագրի մի կողմը գրավոր ձևով առաջարկում է մյուս կողմին լուծել պայմանագիրը', 'Առաջարկն ստացած կողմը պետք է յոթ օրվա ընթացքում ծանուցի իր համաձայնության մասին', 'Եթե յոթ օրվա ժամկետում պատասխան չի տրվում, առաջարկը համարվում է մերժված', 'Համաձայնության դեպքում կողմերը կնքում են գրավոր համաձայնագիր, որտեղ նշվում են պայմանագրի լուծման ժամկետը և այլ պայմաններ'], 'grounded': False}}"
BM25 Only,Որո՞նք են հարկային պարտավորության կատարման ժամկետն...,13.84,1.0,0.721,0.279,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.9221428632736206), 'claims_checked': 5, 'llm_verification': {'score': 0.2, 'hallucinated_claims': ['Միասնական հաշվին գումարների մուտքագրման (կատարման) օրվա որոշումը (Հոդված 326) և դրա բոլոր ենթակետերը (ճշտված հաշվարկներ, դատարանի վճիռ, ստուգման ակտ):', 'Հարկային մարմինը գույքի գրավի պայմանագիր կնքելու առաջարկն ուսումնասիրում է առավելագույնը հինգ աշխատանքային օրվա ընթացքում (Հոդված 430-ի այս մասը բացակայում է համատեքստում):', 'Գրավի պայմանագրի ժամկետի կամ գրավի առարկայի պիտանիության ժամկետի վերաբերյալ պնդումները (Հոդված 430-ի այս մասը բացակայում է համատեքստում):', 'Կազմակերպության բաժանման կամ առանձնացման դեպքում բաժանիչ հաշվեկշռին համապատասխան պարտավորությունների փոխանցման մասին պնդումը (Հոդված 49-ի տրամադրված հատվածը ներառում է միայն միաձուլումը և միացումը):'], 'grounded': False}}"
BM25 Only,Կարո՞ղ է արդյոք գործատուն միակողմանի փոփոխել պայմա...,17.54,1.0,0.874,0.126,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.9275103211402893), 'claims_checked': 5, 'llm_verification': {'score': 0.7, 'hallucinated_claims': ['Աշխատանքային պայմանագիրը լուծելու մասին ծանուցումն ուժը կորցրած է ճանաչվում, եթե ծանուցման ժամկետը լրանալուց հետո անցել է հինգ օրից ավելի ժամանակ, և գործատուն չի լուծել պայմանագիրը [Աղբյուր՝ ՀՀ ԱՇԽԱՏԱՆՔԱՅԻՆ ՕՐԵՆՍԳԻՐՔ.pdf, Հոդված 115]'], 'grounded': False}}"
BM25 Only,Ի՞նչ պատասխանատվություն է նախատեսված ապօրինի ձեռնա...,16.02,0.0,0.826,0.174,"{'citation_grounding': 0.6, 'nli_entailment': np.float64(0.9318277597427368), 'claims_checked': 5, 'llm_verification': {'score': 0.8, 'hallucinated_claims': ['Կապալառուի պատասխանատվությունը շինարարական աշխատանքների որակի և նախագծային շեղումների համար [Աղբյուր՝ ՀՀ ՔԱՂԱՔԱՑԻԱԿԱՆ ՕՐԵՆՍԳԻՐՔ.pdf]'], 'grounded': False}}"
BM25 Only,Ինչպե՞ս պատրաստել պիցցա:,7.39,0.0,0.899,0.101,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.918152904510498), 'claims_checked': 5, 'llm_verification': {'score': 0.8, 'hallucinated_claims': ['Դատական նիստի քարտուղարի իրավունքներին և պարտականություններին [Source: ՀՀ ՔՐԵԱԿԱՆ ԴԱՏԱՎԱՐՈՒԹՅԱՆ ՕՐԵՆՍԳԻՐՔ.pdf]'], 'grounded': False}}"
BM25 Only,Ի՞նչ է հանցակցությունը ՀՀ քրեական օրենսգրքով:,6.0,1.0,0.916,0.084,"{'citation_grounding': 0.75, 'nli_entailment': np.float64(0.9328823447227478), 'claims_checked': 5, 'llm_verification': {'score': 1.0, 'hallucinated_claims': [], 'grounded': True}}"
BM25 Only,Ո՞րն է նվազագույն աշխատավարձի չափը Հայաստանում 202...,8.05,1.0,0.97,0.03,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.9391606569290161), 'claims_checked': 5, 'llm_verification': {'score': 1.0, 'hallucinated_claims': [], 'grounded': True}}"
BM25 Only,Ինչպե՞ս է կատարվում ժառանգության ընդունումը:,11.99,1.0,0.837,0.163,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.9134689569473267), 'claims_checked': 5, 'llm_verification': {'score': 0.6, 'hallucinated_claims': ['Ժառանգության բացման օրվանից ժառանգվող գույքը վերածվում է ժառանգների ընդհանուր բաժնային սեփականության, եթե այն անցնում է երկու կամ ավելի ժառանգների: Ժառանգությունն ընդունած յուրաքանչյուր ժառանգ իրավունք ունի պահանջել ժառանգության բաժանում [Հոդված 1234]', 'Ժառանգները կարող են փոխադարձ համաձայնությամբ բաժանել ժառանգությունը: Եթե նման համաձայնությունը կնքվում և նոտարական կարգով վավերացվում է մինչև վկայագիր տալը, ապա այն հիմք է հանդիսանում վկայագրում յուրաքանչյուր ժառանգի հասանելիք կոնկրետ գույքը նշելու համար [Հոդված 1236]'], 'grounded': False}}"
BM25 Only,Կարո՞ղ է ոստիկանը առանց թույլտվության մտնել բնակար...,8.07,0.0,0.923,0.077,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.9062836468219757), 'claims_checked': 2, 'llm_verification': {'score': 0.9, 'hallucinated_claims': ['Պատասխանում նշված «Հոդված 632»-ը առկա չէ տրամադրված համատեքստում (միայն Հոդված 633-ն է):'], 'grounded': False}}"
BM25 Only,Որո՞նք են ամուսնալուծության հիմքերը դատական ​​կարգ...,9.19,1.0,0.892,0.108,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.93366539478302), 'claims_checked': 5, 'llm_verification': {'score': 0.75, 'hallucinated_claims': ['Հայաստանի Հանրապետությունում ճանաչվում են նաև օտարերկրյա դատարանների կողմից կայացված ամուսնալուծության վերաբերյալ ակտերը (օտարերկրյա քաղաքացիների միջև, կամ ՀՀ քաղաքացու և օտարերկրացու/քաղաքացիություն չունեցող անձի միջև), եթե պահպանվել են օրենքով սահմանված բնակության կամ այլ պայմանները:'], 'grounded': False}}"
